fecha,combinado,combinado_id,partido,estado,monto_combinado_cop,cuota_combinada,retorno_potencial_cop,retorno_real_cop,hora_colombia,liga,local,visitante,mercado,tipo_seleccion,seleccion,cuota_seleccion
2026-09-16,1,sim-1789466442547-10,1,pending,2919,115.14,336093,,2026-09-16 14:30,Spanish LALIGA,Levante,Athletic Club,1X2,LOCAL,Levante,3.35
2026-09-16,1,sim-1789466442547-10,2,pending,2919,115.14,336093,,2026-09-16 12:00,Spanish LALIGA,Deportivo,Sevilla,1X2,LOCAL,Deportivo,2.55
2026-09-16,1,sim-1789466442547-10,3,pending,2919,115.14,336093,,2026-09-15 12:00,Spanish LALIGA,Rayo Vallecano,Espanyol,1X2,LOCAL,Rayo Vallecano,2.35
2026-09-16,1,sim-1789466442547-10,4,pending,2919,115.14,336093,,2026-09-17 14:30,Spanish LALIGA,Málaga,Villarreal,1X2,VISITANTE,Villarreal,1.95
2026-09-16,1,sim-1789466442547-10,5,pending,2919,115.14,336093,,2026-09-16 20:20,Colombian Primera A,Internacional de Bogotá,Atlético Nacional,1X2,VISITANTE,Atlético Nacional,1.91
2026-09-16,1,sim-1789466442547-10,6,pending,2919,115.14,336093,,2026-09-15 20:00,Liga MX,Puebla,Toluca,1X2,VISITANTE,Toluca,1.54
2026-09-16,2,sim-1789466442547-9,1,pending,2928,130.10,380932,,2026-09-16 14:30,Spanish LALIGA,Levante,Athletic Club,1X2,LOCAL,Levante,3.35
2026-09-16,2,sim-1789466442547-9,2,pending,2928,130.10,380932,,2026-09-16 12:00,Spanish LALIGA,Deportivo,Sevilla,1X2,LOCAL,Deportivo,2.55
2026-09-16,2,sim-1789466442547-9,3,pending,2928,130.10,380932,,2026-09-15 12:00,Spanish LALIGA,Rayo Vallecano,Espanyol,1X2,LOCAL,Rayo Vallecano,2.35
2026-09-16,2,sim-1789466442547-9,4,pending,2928,130.10,380932,,2026-09-17 14:30,Spanish LALIGA,Málaga,Villarreal,1X2,VISITANTE,Villarreal,1.95
2026-09-16,2,sim-1789466442547-9,5,pending,2928,130.10,380932,,2026-09-16 20:20,Colombian Primera A,Internacional de Bogotá,Atlético Nacional,1X2,VISITANTE,Atlético Nacional,1.91
2026-09-16,2,sim-1789466442547-9,6,pending,2928,130.10,380932,,2026-09-15 13:00,Spanish LALIGA,Alavés,Valencia,1X2,LOCAL,Alavés,1.74
2026-09-16,3,sim-1789380026045-7,1,lost,2946,173.72,511779,0,2026-09-16 14:30,Spanish LALIGA,Levante,Athletic Club,1X2,LOCAL,Levante,3.35
2026-09-16,3,sim-1789380026045-7,2,lost,2946,173.72,511779,0,2026-09-16 12:00,Spanish LALIGA,Deportivo,Sevilla,1X2,LOCAL,Deportivo,2.50
2026-09-16,3,sim-1789380026045-7,3,lost,2946,173.72,511779,0,2026-09-17 14:30,Spanish LALIGA,Málaga,Villarreal,1X2,VISITANTE,Villarreal,2.00
2026-09-16,3,sim-1789380026045-7,4,lost,2946,173.72,511779,0,2026-09-14 17:00,Argentine Liga Profesional de Fútbol,Banfield,Barracas Central,1X2,VISITANTE,Barracas Central,3.35
2026-09-16,3,sim-1789380026045-7,5,lost,2946,173.72,511779,0,2026-09-15 12:00,Spanish LALIGA,Rayo Vallecano,Espanyol,1X2,LOCAL,Rayo Vallecano,2.15
2026-09-16,3,sim-1789380026045-7,6,lost,2946,173.72,511779,0,2026-09-14 19:15,Argentine Liga Profesional de Fútbol,Instituto de Córdoba,Estudiantes Río Cuarto,1X2,LOCAL,Instituto de Córdoba,1.44
2026-09-16,4,sim-1789380026045-8,1,pending,2937,137.42,403602,,2026-09-16 14:30,Spanish LALIGA,Levante,Athletic Club,1X2,LOCAL,Levante,3.35
2026-09-16,4,sim-1789380026045-8,2,pending,2937,137.42,403602,,2026-09-16 12:00,Spanish LALIGA,Deportivo,Sevilla,1X2,LOCAL,Deportivo,2.50
2026-09-16,4,sim-1789380026045-8,3,pending,2937,137.42,403602,,2026-09-17 14:30,Spanish LALIGA,Málaga,Villarreal,1X2,VISITANTE,Villarreal,2.00
2026-09-16,4,sim-1789380026045-8,4,pending,2937,137.42,403602,,2026-09-15 12:00,Spanish LALIGA,Rayo Vallecano,Espanyol,1X2,LOCAL,Rayo Vallecano,2.15
2026-09-16,4,sim-1789380026045-8,5,pending,2937,137.42,403602,,2026-09-14 17:00,Argentine Liga Profesional de Fútbol,Deportivo Riestra,Lanús,1X2,VISITANTE,Lanús,2.65
2026-09-16,4,sim-1789380026045-8,6,pending,2937,137.42,403602,,2026-09-14 19:15,Argentine Liga Profesional de Fútbol,Instituto de Córdoba,Estudiantes Río Cuarto,1X2,LOCAL,Instituto de Córdoba,1.44
2026-09-16,5,sim-1789302479430-5,1,lost,2964,170.84,506369,0,2026-09-16 14:30,Spanish LALIGA,Levante,Athletic Club,1X2,LOCAL,Levante,3.15
2026-09-16,5,sim-1789302479430-5,2,lost,2964,170.84,506369,0,2026-09-13 19:30,Argentine Liga Profesional de Fútbol,Huracán,Racing Club,1X2,LOCAL,Huracán,2.65
2026-09-16,5,sim-1789302479430-5,3,lost,2964,170.84,506369,0,2026-09-14 14:15,Portuguese Primeira Liga,Moreirense FC,Marítimo,1X2,VISITANTE,Marítimo,2.90
2026-09-16,5,sim-1789302479430-5,4,lost,2964,170.84,506369,0,2026-09-15 12:00,Spanish LALIGA,Rayo Vallecano,Espanyol,1X2,LOCAL,Rayo Vallecano,2.10
2026-09-16,5,sim-1789302479430-5,5,lost,2964,170.84,506369,0,2026-09-14 19:15,Argentine Liga Profesional de Fútbol,Instituto de Córdoba,Estudiantes Río Cuarto,1X2,LOCAL,Instituto de Córdoba,1.43
2026-09-16,5,sim-1789302479430-5,6,lost,2964,170.84,506369,0,2026-09-14 14:00,English Premier League,Leeds United,Newcastle United,1X2,LOCAL,Leeds United,2.35
